Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Views (co-viewed),Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,YouTube Premium views,YouTube Premium watch time (hours),End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Views,Watch time (hours),Subscribers,Average view duration,Thumbnail impressions,Thumbnail click-through rate (%)
XjgsnTgFxXs,Half-Wall Smokes for Banana Control (IEM Cologne Major 2026) #cs2 #csgo #counterstrike #cs2inferno,"Jul 7, 2026",29,406,65.66,45.72,,788,0,,,,,,0,0,0,0,4,0,100,0,0,157,0.3947,0,0,,0,0,,0,0,,894,2.3474,0,0:00:19,169,0
jGPZ6tpsv3M,Best Ebox Smokes for Canal Control Part 3 (IEM Cologne Major 2026) #cs2 #csgo #counterstrike #cs2an…,"Jul 17, 2026",75,389,30.48,49.74,,660,3,,,,,,0,0,0,0,8,0,100,0,0,101,0.3941,0,0,,0,0,,0,0,,739,2.6033,0,0:00:22,435,0.46
m0tFDmgeQMo,Staehr holds off Falcons - 1v3 4k Clutch #cs2 #counterstrike #esportsworldcup2026 #Shorts,"Aug 15, 2026",45,379,52.01,54.93,,607,709,,,,,,0,0,0,0,13,0,100,0,0,102,0.3724,0,0,,0,0,,0,0,,700,2.569,0,0:00:23,86,4.65
NB3r_V_KWHI,Best Camera Smokes for A Site Executes (IEM Cologne Major 2026) #cs2 #csgo #counterstrike #cs2anubis,"Jul 23, 2026",38,377,42.21,36.25,,853,4,,,,,,0,0,0,0,3,0,100,0,0,153,0.3223,0,0,,0,0,,0,0,,944,1.9299,0,0:00:16,288,0.69
QWgQR-TskOM,Top Ancient Smokes Used by Pros During CAC 2026,"Jun 8, 2026",788,375,13.95,,,321,69,,,,,,0,0,0,0,6,1,85.71,1,0,108,3.1354,0,26,0,0,0,,0,0,,397,11.4567,0,0:01:49,2437,10.96
9gvnkjZqkmQ,Best Stairs Smokes for Water Control (IEM Cologne Major 2026) #cs2 #csgo #counterstrike #cs2anubis,"Jul 13, 2026",85,370,27.15,47.55,,668,4,,,,,,0,0,0,0,8,0,100,0,0,126,0.4167,0,0,,0,0,,0,0,,725,2.5287,0,0:00:23,433,0.92
kFJ_HqiQ-nE,Mirage Market Smoke Variations For B Push And Retake Defense (CAC 2026) Part 1,"Jun 21, 2026",45,368,33.33,41.72,,730,2,,,,,,0,0,0,0,5,1,83.33,0,0,102,0.2733,0,0,,0,0,,0,0,,800,1.7267,0,0:00:14,211,1.42
ziv0yHhPaRg,Every Variation of Long A Cross Smoke used during CAC 2026 Part 1 #csgo #cs2 #counterstrike #cs2dus…,"Jun 14, 2026",63,365,38.04,63.32,,517,0,,,,,,0,0,0,0,15,0,100,0,0,87,0.3335,0,0,,0,0,,0,0,,577,2.4997,0,0:00:23,147,3.4
HZ7yeldSbX0,Pros Use These Window Smokes on Mirage during CAC 2026 (Part 1)#csgo #cs2 #counterstrike #cs2mirage,"Jun 22, 2026",46,365,41.39,31.58,,887,0,,,,,,0,0,0,0,8,0,100,0,0,77,0.2006,0,0,,0,0,,0,0,,940,2.1711,0,0:00:19,623,0.48
T0ItSkNuKog,Best B Main Lurk Smokes for B Executes (IEM Cologne Major 2026) #cs2 #csgo #counterstrike #cs2anubis,"Jul 18, 2026",73,358,24.98,36.13,,834,3,,,,,,0,0,0,0,3,0,100,1,0,135,0.3128,0,0,,0,0,,0,0,,876,2.0404,0,0:00:18,661,0.91
